date,id,name,subs,views,videos
2026-08-23 00:00,UCpYfKq3qR3POstp21yzKyVQ,ほすとぼーる,8260,1606685,23
2026-08-23 00:00,UCPpw3ZMnEraWpMPSrwCzOog,アメリカボール　【PBer合衆国盟主】,9170,1118092,86
2026-08-23 00:00,UCmzj8pO1YtKLmcmaMPf9wbQ,なるほど地理,142000,322740376,1084
2026-08-23 00:00,UCnZNY63Txhu4ot3l2lbicOA,ばかわたし,8120,4569016,92
2026-08-23 00:00,UCrRZolgBJ0K-yGqFKGbUVkw,ねとえん,9630,7511610,116
2026-08-23 00:00,UCYmJ2rqzqNtXBm-gn438zGw,みすい,2910,1234894,25
2026-08-23 00:00,UCh3VbVye4ZnUM0bWM_Y809A,ウィン【肉声】【ポーランドボール】,2950,457795,107
2026-08-23 00:00,UCw38uDxuGOKl_4CXuXs4xGg,なごみん,11600,2862670,84
2026-08-23 00:00,UCa0ZOhyruXeM15m-PcLTIwA,ポーランドボールの教科書,7910,1419377,50
2026-08-23 00:00,UCAHBgzoF51DYatj2GvtsJ0g,Rimoru,7120,3298976,140
2026-08-23 00:00,UCpuBkqE5xZRinCNByOVjOQg,アスラボール　,7560,3022188,20
2026-08-23 00:00,UCSmEHeb7jyz5cCBzwHRYZ_w,天川 蒼,6330,5051703,228
2026-08-23 00:00,UC4XJouYnuo5B4eKy2yWhkHg,いたりぃ,7030,1128652,24
2026-08-23 00:00,UCq7LWvE7EDAvLZ_5jctGQ3w,カカポボール🦜,6460,4155870,86
2026-08-23 00:00,UCMNJg5qFCF3VPeo0cRXqQlg,白海豚,6580,2142104,117
2026-08-23 00:00,UCvOfNL3MjhbjxAU8U9Fi9uQ,ポテトの王,6700,2045322,37
2026-08-23 00:00,UCQ81jsSQFLY49Fh9UfOTONQ,セフィルぼーる‼︎,6750,2183329,249
2026-08-23 00:00,UCH5Q8u60__uE8KKC0STZH_g,ノートボール,7050,3620321,90
2026-08-23 00:00,UCjwy3iaSFry_4JOWVv44lXA,ゆうボール,6960,1582459,27
2026-08-23 00:00,UCXCVbJCSF4FLP_TfojbkvUA,アフガンボール,5550,948856,6
2026-08-23 00:00,UCmVUXrmRsAk94xhvZR9wufA,ikasumi帝国,5520,936291,36
2026-08-23 00:00,UChdZLH2O41ruwShCEExLzIg,ヴァイマル共和国ボール [底辺PBer連盟] ,5270,3956065,284
2026-08-23 00:00,UCyFwf6UZ3uhUq1Kheyz_uWw,フラルランドPB,5840,2687299,147
2026-08-23 00:00,UC5nTC9yBAAxfaefKiXB7cZw,まるッとわかる地理の裏話,12300,19332615,34
2026-08-23 06:00,UCkjdTrE4hiJ4qNOV7NPGSSw,Æž!フヒフム,385000,380426339,884
